COURSECODE,COURSENAME,COURSENAMEENG,CREDITTOTAL
342365,การประมวลผลแบบกลุ่มเมฆและการประยุกต์,CLOUD COMPUTING AND APPLICATIONS,3
342371,วิศวกรรมซอฟต์แวร์,SOFTWARE ENGINEERING,3
342372,การวิเคราะห์และออกแบบระบบ,SYSTEMS ANALYSIS AND DESIGN,3
342375,เทคโนโลยีเอ็กซ์เอ็มแอลและการประยุกต์,XML TECHNOLOGIES AND APPLICATIONS,3
342376,ความมั่นคงเทคโนโลยีสารสนเทศและการสื่อสาร,INFORMATION AND COMMUNICATION TECHNOLOGY SECURITY,3
342384,ระบบธุรกิจอัจฉริยะ,BUSINESS INTELLIGENCE SYSTEM,3
342391,ระเบียบวิธีวิจัย,RESEARCH METHODOLOGY,3
342431,เทคโนโลยีเว็บ,WEB TECHNOLOGY,3
342432,เทคโนโลยีการออกแบบเว็บ,WEB DESIGN TECHNOLOGIES,3
342436,เทคโนโลยีเว็บแบบสื่อความหมาย,SEMANTIC WEB TECHNOLOGY,3
342471,การจัดการเชิงกลยุทธ์เทคโนโลยีสารสนเทศ,STRATEGIC MANAGEMENT OF INFORMATION TECHNOLOGY,3
342473,การบริหารโครงการ,PROJECT MANAGEMENT,3
342475,การทำเหมืองข้อมูล,DATA MINING,3
342479,วิชาชีพเทคโนโลยีสารสนเทศ,INFORMATION TECHNOLOGY PROFESSION,3
342491,สัมมนาทางเทคโนโลยีสารสนเทศ,SEMINAR IN INFORMATION TECHNOLOGY,1
342494,โครงงานคอมพิวเตอร์ 1,COMPUTER PROJECT I,3
342495,สหกิจศึกษา,CO-OPERATIVE EDUCATION,6
342496,โครงงานคอมพิวเตอร์ 2,COMPUTER PROJECT II,3
366118,ยาในชีวิตประจำวัน,DRUGS IN DAILY LIFE,2
366128,ผลิตภัณฑ์เสริมอาหาร ยา และเครื่องสำอาง เพื่อสุขภาพ,"FOOD SUPPLEMENTS,  DRUGS AND COSMETICS FOR HEALTH",1
371120,นิติวิทยาศาสตร์เบื้องต้น,ELEMENTARY FORENSIC SCIENCES,2
380118,การบริบาลผู้สูงอายุ,CARE FOR ELDERLY,2
419110,ปรัชญาขั้นแนะนำ,INTRODUCTION TO PHILOSOPHY,3
419111,ตรรกศาสตร์,LOGIC,3
419114,ประวัติปรัชญาตะวันตก,HISTORY OF WESTERN PHILOSOPHY,3
419120,ศาสนาขั้นแนะนำ,INTRODUCTION TO RELIGION,3
419121,ศาสนาเปรียบเทียบ,COMPARATIVE RELIGION,3
419123,พุทธศาสนาเบื้องต้น,INTRODUCTION TO BUDDHISM,3
419125,พุทธศาสนากับชีวิตประจำวัน,BUDDHISM AND DAILY LIFE,3
419126,การพัฒนาจิต,MENTAL DEVELOPMENT,3
419130,วัฒนธรรมไทย,THAI CULTURE,3
419131,วัฒนธรรมอีสาน,ESARN CULTURE,3
419314,ญาณวิทยา,EPISTEMOLOGY,3
419315,ปรัชญาสังคม,SOCIAL PHILOSOPHY,3
419425,ศิลปะการครองเรือนในพุทธศาสนา,ART OF WEDLOCK IN BUDDHISM,3
511214,สุขภาพจิต,MENTAL HEALTH,2
511414,การบริหารโครงการสาธารณสุข,PUBLIC HEALTH PROJECT ADMINISTRATION,3
511416,การพัฒนาองค์กรสุขภาพและพฤติกรรมองค์กร,HEALTH ORGANIZATIONAL DEVELOPMENT AND ORGANIZATIONAL BEHAVIORS,3
511419,นวัตกรรมสาธารณสุขและประชาสังคม,PUBLIC HEALTH INNOVATION AND CIVIL SOCIETY,3
515121,นิรภัยศึกษา,SAFETY EDUCATION,2
614201,สารพิษในชีวิตประจำวัน,TOXIC SUBSTANCES IN DAILY LIFE,3
694102,วิทยาศาสตร์ของโลก,EARTH SCIENCE,3
777100,ความรู้เบื้องต้นเกี่ยวกับกฎหมายทั่วไป,INTRODUCTION TO LAW,3
